ManufacturerName,CustomerName,City,State,INVOICE#,BRANCH,LINE,ALT1,UPC,EAN,LIST,COST,SERIAL,DEPOT,SHIP.ZIP,SPLIT,Stockcode,ItemDesc,QuantityOrd,SaleDate,Amount,PURCH GRP,PCODE,TransferOrNot
Legend,FW Webb,SALEM,MA,80481645,2,LEG,LEG102-614,662545000992,,22.32,8.035,,Y,01970,,LEG34GBV,"B/V T-3001 BLU TOP GAS MA CODE 3/4"" F",1,1/26/2026,8.04,LEG22,G,Transfer
Legend,FW Webb,SALEM,MA,80481645,2,LEG,LEG102-615,662545001005,,46,16.56,,Y,01970,,102-615,"B/V T-3001 BLU TOP GAS MA CODE 1"" F",1,1/26/2026,16.56,LEG22,G,Transfer
Legend,FW Webb,SALEM,MA,80481714,2,LEG,LEG313-206NL,662545084268,,118.34,42.602,,Y,01970,,313-206NL,"ADPT T-4300NL LF BRZ 1-1/4"" PK JNT CTSxM",1,1/26/2026,42.6,LEG04,K,Transfer
Legend,FW Webb,SALEM,MA,80481714,2,LEG,LEG313-406,662545021355,,6.62,2.383,,Y,01970,,LEG114T4500,"INS STIFNR T-4500 SS 1-1/4"" CTS AND 1"" IPS",1,1/26/2026,2.38,LEG04,K,Transfer
Legend,FW Webb,HYANNIS,MA,80482682,3,LEG,LEG102-613,662545000985,,14.31,5.152,,Y,02601,,LEG12GBV,"B/V T-3001 BLU TOP GAS MA CODE 1/2"" F",2,1/26/2026,10.3,LEG22,G,Transfer
Legend,FW Webb,HYANNIS,MA,80482717,3,LEG,LEG102-614,662545000992,,22.32,8.035,,Y,02601,,LEG34GBV,"B/V T-3001 BLU TOP GAS MA CODE 3/4"" F",1,1/26/2026,8.04,LEG22,G,Transfer
Legend,FW Webb,HYANNIS,MA,80482717,3,LEG,LEG102-613,662545000985,,14.31,5.152,,Y,02601,,LEG12GBV,"B/V T-3001 BLU TOP GAS MA CODE 1/2"" F",1,1/26/2026,5.15,LEG22,G,Transfer
Legend,FW Webb,NASHUA,NH,80480764,4,LEG,LEG313-218NL,662545084367,,295.08,106.229,,Y,03062,,313-218NL,"CPLG T-4301NL 2"" CTS PK JNT LF BRZ",2,1/26/2026,212.46,LEG04,K,Transfer
Legend,FW Webb,NASHUA,NH,80480825,4,LEG,LEG500-12-10B,662545125114,,6.21,0.224,,,03062,,500-12-10B,"PEX TBNG PE-RT STICK 1/2""x10' BLU F1807",10,1/26/2026,2.24,LEG88,P,Transfer
Legend,FW Webb,NASHUA,NH,80480825,4,LEG,LEG500-12-20B,662545117935,,12.43,0.224,,,03062,,500-12-20B,"PEX TBNG PE-RT STICK 1/2""x20' BLU F1807",20,1/26/2026,4.48,LEG88,P,Transfer
Legend,FW Webb,NASHUA,NH,80480863,4,LEG,LEG102-613,662545000985,,14.31,5.152,,Y,03062,,LEG12GBV,"B/V T-3001 BLU TOP GAS MA CODE 1/2"" F",3,1/26/2026,15.46,LEG22,G,Transfer
