ManufacturerName,Transaction Type,Num,CustomerName,City,State,ItemDesc,QuantityOrd,SaleDate,Sales Price,Amount,Balance,TransferOrNot
VSD,Invoice,21920,Granite Group,,,Smart Toolbox Custom Item,1,02/03/2026,"1,481.68  ","1,481.68  ","1,481.68  ",Direct
VSD,Invoice,21922,Bender Plumbing Supply,Waterbury,CT,Smart Toolbox Custom Item,1,02/03/2026,"2,110.30  ","2,110.30  ","3,591.98  ",Direct
VSD,Invoice,21932,Bender Plumbing Supply,New Haven,CT,Smart Toolbox Custom Item,1,02/06/2026,"1,253.10  ","1,253.10  ","4,845.08  ",Direct
VSD,Invoice,21950,Granite Group,,,Smart Toolbox Custom Item,1,02/11/2026,862.65  ,862.65  ,"5,707.73  ",Direct
VSD,Invoice,21947,N&S Supply,,,Smart Toolbox Custom Item,1,02/11/2026,"1,215.88  ","1,215.88  ","6,923.61  ",Direct
VSD,Invoice,21952,FW Webb,Needham,MA,Smart Toolbox Custom Item,1,02/12/2026,"1,752.80  ","1,752.80  ","8,676.41  ",Direct
VSD,Invoice,21956,Capitol District Supply,Schenectady,NY,Smart Toolbox Custom Item,1,02/12/2026,"2,390.86  ","2,390.86  ","11,067.27  ",Direct
VSD,Invoice,21955,FW Webb,Bedford,MA,Smart Toolbox Custom Item,1,02/12/2026,742.10  ,742.10  ,"11,809.37  ",Direct
VSD,Invoice,21946,FW Webb,Warwick,RI,Smart Toolbox Custom Item,1,02/13/2026,"1,338.28  ","1,338.28  ","13,147.65  ",Direct
VSD,Invoice,21960,FW Webb,Needham,MA,Smart Toolbox Custom Item,1,02/13/2026,"2,075.20  ","2,075.20  ","15,222.85  ",Direct
VSD,Invoice,21978,Granite Group,,,Smart Toolbox Custom Item,1,02/17/2026,"1,422.56  ","1,422.56  ","16,645.41  ",Direct
VSD,Invoice,21989,Granite Group,,,Smart Toolbox Custom Item,1,02/18/2026,"1,746.35  ","1,746.35  ","18,391.76  ",Direct
VSD,Invoice,21997,Granite Group,,,Smart Toolbox Custom Item,1,02/19/2026,"1,704.30  ","1,704.30  ","20,096.06  ",Direct
VSD,Invoice,21993,FW Webb,Bedford,MA,Smart Toolbox Custom Item,1,02/19/2026,"1,057.11  ","1,057.11  ","21,153.17  ",Direct
VSD,Invoice,22009,Capitol District Supply,Albany,NY,Smart Toolbox Custom Item,1,02/24/2026,"2,374.28  ","2,374.28  ","23,527.45  ",Direct
VSD,Invoice,22019,FW Webb,Manchester,NH,Smart Toolbox Custom Item,1,02/25/2026,"1,501.73  ","1,501.73  ","25,029.18  ",Direct
VSD,Invoice,22019,FW Webb,Manchester,NH,Smart Toolbox Custom Item,1,02/25/2026,"1,815.01  ","1,815.01  ","26,844.19  ",Direct
VSD,Invoice,22020,Bender Plumbing Supply,New Haven,CT,Smart Toolbox Custom Item,1,02/25/2026,"1,204.55  ","1,204.55  ","28,048.74  ",Direct
VSD,Invoice,22020,Bender Plumbing Supply,New Haven,CT,Smart Toolbox Custom Item,1,02/25/2026,"1,326.87  ","1,326.87  ","29,375.61  ",Direct
VSD,Invoice,22019,FW Webb,Manchester,NH,Smart Toolbox Custom Item,1,02/25/2026,"1,901.41  ","1,901.41  ","31,277.02  ",Direct
VSD,Invoice,22029,FW Webb,Exeter,NH,Smart Toolbox Custom Item,1,02/26/2026,"1,275.05  ","1,275.05  ","32,552.07  ",Direct
VSD,Invoice,22024,FW Webb,Concord,NH,Smart Toolbox Custom Item,1,02/26/2026,"1,989.90  ","1,989.90  ","34,541.97  ",Direct
VSD,Invoice,22033,N&S Supply,,,Smart Toolbox Custom Item,1,02/27/2026,367.50  ,367.50  ,"34,909.47  ",Direct
VSD,Invoice,22032,FW Webb,Lebanon,NH,Smart Toolbox Custom Item,1,02/27/2026,903.56  ,903.56  ,"35,813.03  ",Direct
